domain,name,cc,region,type,category,language,comment,geoloc_cc,geoloc_city,traceloc_cc,traceloc_city,size_mobile,size_desktop
maravi.blogspot.com,Maravi,ZM,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
maritzburgsun.co.za,Maritzburg Sun,ZA,Pietermaritzburg,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
marocgazette.com,Morocco Gazette,MA,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
marocpress.ma,Maroc Press,MA,National,IN,GI,ARA,Site 2,NULL,NULL,NULL,NULL,NULL,NULL
mauritiustimes.com,Mauritius Times,MU,Port Louis,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
mayotte.la1ere.fr,La 1ere,YT,Nationwide,BC,GI,FRA,Radio TV,NULL,NULL,NULL,NULL,NULL,NULL
mbc.intnet.mu,MBC,MU,National,BC,GI,FRA,Radio TV Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
mediamaxnetwork.co.ke,People Daily,KE,Nairobi,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
mg.co.za,Mail and Guardian,ZA,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
midrandreporter.co.za,Midrand Reporter,ZA,Midrand,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
