"domain","name","cc","region","type","category","language","comment","geoloc_cc",size_mobile,size_desktop
"citybuzz.co.za","City Buzz","ZA","Johannesburg (Central)","NP","GI","ENG","","US",104980,242911
"comarochronicle.co.za","Comaro Chronicle","ZA","Johannesburg (South)","NP","GI","ENG","","US",113073,287477
"completesportsnigeria.com","Complete Sports","NG","Nationwide","NP","SP","ENG","","US",134408,134408
"congo-liberty.com","Congo Liberty","CG","Foreign","IN","GI","FRA","","US-AZ",29181,105744
"congopanorama.info","Congo Panorama","CD","Foreign","IN","GI","ENG","","JP",10583,10583
"crossriverwatch.com","Cross River Watch","NG","Calabar","IN","GI","ENG","","US",114787,114787
"crtv.cm","Cameroon Radio Television","CM","Nationwide","BC","GI","FRA","Radio TV Also ENG","CM",403686,403686
"cyberzena.com","Cyber Zena","ET","Foreign","IN","GI","ENG","","DE",10984,11011
"dailynews.gm","Daily News","GM","Banjul","NP","GI","ENG","","FR",5725,5725
"dailypost.ng","Daily Post","NG","Nationwide","IN","GI","ENG","","US",137249,138110
"dailypost.ug","Daily Post","UG","National","IN","GI","ENG","","US-CA",106926,106926
"dailyreviewonline.com.ng","Daily Review Online","NG","Nationwide","IN","GI","ENG","","DE",8924,9394
"dailystar.com.ng","Daily Star","NG","Nationwide","IN","EN","ENG","","US",76281,77054
"desertherald.com","Desert Herald","NG","Kaduna","NP","GI","ENG","","US-AZ",895,895
"diasporasaharaui-en.blogspot.com","Western Sahara News","EH","National","IN","GI","ENG","","US-CA",41562,290435
"dieson.mobi","Die Son","ZA","Cape Town","NP","GI","AFR","","ZA",35661,60738
"diplomat.so","Diplomat News Network","SO","National","IN","GI","ENG","","BG",130381,130381
"djiboutination.com","Djibouti Nation","DJ","Foreign","IN","GI","FRA","","CA-ON",7314,7314
"eagle.co.ug","Eagle Online","UG","National","IN","GI","ENG","","US-CA",49593,144504
"eaglereporters.com","Eagle Reporters","NG","Nationwide","IN","GI","ENG","","US-MA",63639,20786
"ecadforum.com","ECADF","ET","Foreign","IN","GI","ENG","","US",114170,114170
"echosdesidibelabbes.info","Les Echos de Sidi bel Abbes","DZ","Sidi bel Abbes","IN","GI","FRA","","GB",22952,22952
"economiaemercado.sapo.ao","Economia e Mercado","AO","National","MG","BU","POR","","PT",85503,85503
"ectv.org","ECTV","ET","Foreign","BC","GI","AMH","","US-TX",36934,36935
