"domain","probe_cc","hosting_cc1","hop_count"
"www.flavafm.co.zm","ZM","US",13
"www.focusinfos.net","TG","FR",10
"www.forumdelasemaine.com","TG","FR",5
"www.fraternitebj.info","BJ","FR",3
"www.fratmat.info","CI","US",16
"www.freedomnewspaper.com","GM","US",9
"www.freedomradionig.com","NG","BG",7
"www.freemedia.co.tz","TZ","SE",9
"www.freshangleng.com","NG","US",10
"www.freshfactsonlinenews.net","NG","US",9
"www.frontiersnews.com","NG","US",6
"www.gabzfm.com","BW","US",12
"www.galaxytvonline.com","NG","US",6
"www.gamji.com","NG","CA",8
"www.gazettebw.com","BW","US",6
"www.gbcghana.com","GH","US",9
"www.gbich.com","CI","FR",26
"www.gbn.co.za","ZA","ZA",5
"www.georgeherald.com","ZA","ZA",6
"www.ghana.gov.gh","GH","GH",10
"www.ghanabusinessnews.com","GH","US",4
"www.ghanadistricts.com","GH","US",7
"www.ghanadot.com","GH","US",9
"www.ghanaiantimes.com.gh","GH","US",31
"www.ghanamma.com","GH","US",4
"www.ghananewsagency.org","GH","US",8
"www.ghanareview.com","GH","US",10
"www.ghanasoccernet.com","GH","US",4
"www.ghanatoday.com","GH","NL",8
"www.ghanavoice.com","GH","US",9
"www.ghanaweb.com","GH","US",4
"www.gnet.tn","TN","TN",5
"www.golfemediaonline.com","BJ","US",5
"www.gossipnigeria.com","NG","US",5
"www.gov.ls","LS","LS",6
"www.greytown.co.za","ZA","ZA",6
"www.grocotts.co.za","ZA","ZA",6
"www.groupelavenir.org","CD","US",11
"www.grts.gm","GM","GM",3
"www.guardian.co.tz","TZ","US",10
"www.gurtong.net","SS","GB",12
"www.hallmarknews.com","NG","DE",8
"www.harare24.com","ZW","GB",8
"www.hararenews.co.zw","ZW","GB",8
"www.hebdoimmobilier-dz.com","DZ","US",8
"www.heidelbergnigelheraut.co.za","ZA","US",5
"www.herald.co.za","ZA","US",5
"www.herald.co.zw","ZW","US",6
"www.heraldlive.co.za","ZA","US",9
"www.hermanustimes.co.za","ZA","ZA",7
"www.homeviewsenegal.com","SN","US",7
"www.huhuonline.com","NG","US",9
"www.iafrica.com","ZA","US",11
"www.ibinda.com","AO","PT",5
"www.icibenin.com","BJ","CA",9
"www.icilome.com","TG","CA",9
"www.igfm.sn","SN","GB",8
"www.ilanganews.co.za","ZA","ZA",6
"www.ilorin.info","NG","US",10
"www.imatin.net","CI","DE",20
"www.imensis.co.mz","MZ","US",7
"www.imostateblog.com","NG","US",9
"www.imotrumpeta.com","NG","US",7
"www.impact24.info","DZ","US",9
"www.independent.co.ug","UG","GB",7
"www.indepthnigeria.com","NG","US",9
"www.infoconstantine.com","DZ","AU",11
"www.infoghana.info","GH","CZ",7
"www.infonigeria.net","NG","VG",10
"www.informante.web.na","NA","US",9
"www.informationng.com","NG","US",6
"www.informativenews.co.ls","LS","US",9
"www.infosen.net","SN","IT",9
"www.infosoir.com","DZ","CH",5
"www.infotunisie.com","TN","FR",8
"www.insiderzim.com","ZW","CA",8
"www.insight.com.na","NA","IN",6
"www.iol.co.za","ZA","US",5
"www.ionigeria.com","NG","US",8
"www.ippmedia.com","TZ","US",6
"www.ipreunion.com","RE","FR",6
"www.iq4news.com","NG","US",6
"www.isanganiro.org","BI","CH",10
"www.itv.co.tz","TZ","US",6
"www.ivoire-presse.com","CI","EE",20
"www.ivoireactu.net","CI","FR",6
"www.ivoirediaspo.net","CI","GB",13
"www.ivorian.net","CI","SE",16
"www.iwacu-burundi.org","BI","US",7
"www.jadidpresse.com","MA","US",9
"www.jbaynews.com","ZA","ZA",6
"www.jeune-independant.net","DZ","US",5
"www.jeunessedalgerie.com","DZ","US",7
"www.jijel-echo.com","DZ","FR",6
"www.jijel.info","DZ","FR",7
"www.jollofnews.com","GM","US",4
"www.joradp.dz","DZ","DZ",4
"www.jornalnoticias.co.mz","MZ","MZ",5
"www.journal-adjinakou-benin.info","BJ","US",10
"www.journaldebrazza.com","CG","FR",5
"www.journalducameroun.com","CM","FR",44
"www.journaldusport.ma","MA","US",12
"www.k-towndiary.com","CM","JP",28
"www.kabyle.com","DZ","US",5
"www.kapital971.com","GH","US",10
"www.kawalisse.com","DZ","FR",8
"www.kawowo.com","UG","CA",8
"www.kbc.co.ke","KE","KE",4
"www.kbn.co.za","ZA","ZA",5
"www.kenya-today.com","KE","US",5
"www.kenyamoja.com","KE","US",5
"www.kenyan-post.com","KE","US",4
"www.kenyanewsupdates.com","KE","US",6
"www.kitwetimes.com","ZM","US",8
"www.kivumedia.com","CD","US",6
"www.koerant.co.za","ZA","US",11
"www.kormorant.co.za","ZA","US",4
"www.kotzot.com","MU","GB",8
